,Unnamed: 0,Unnamed: 0.1,ADate,City,CityName,ID,MoneyTotal,PName,ProName,ProType,ProTypeName,Trade,TradeName,r_n,price_clean,region
0,0,0,2018-08-03,48,天津,15535,"7,816,582.53元（截止2018年5月21日）",2.0,中国长城资产管理股份有限公司天津市分公司对天津市卓信鸿宇科技发展有限公司债权资产的营销公告,2,债权资产,16.0,科学研究、技术服务和地质勘查业,1,7816582.53,Rust Belt
1,1,1,2018-08-03,384,四川,15536,"抵债资产账面值：702,000.00元",23.0,中国长城资产管理股份有限公司四川省分公司关于对四川宜宾昌明机械有限公司法院裁定抵债资产的网络营销公告,2,债权资产,3.0,"制造业
",2,702000.0,Populous Middle
2,2,2,2018-08-03,35,北京,15537,59633.95万元,1.0,中国长城资产管理股份有限公司北京市分公司北雄2户债权资产包营销公告,2,债权资产,5.0,其他,3,596339500.0,Prosperous Coast
3,3,3,2018-08-03,46,天津,15538,"5,369,078.69元（截止2018年5月21日）",2.0,中国长城资产管理股份有限公司天津市分公司对天津市中天世纪物流有限公司债权资产的营销公告,2,债权资产,27.0,交通运输、仓储和邮政业,4,5369078.69,Rust Belt
4,4,4,2018-08-02,107,辽宁,15532,1448.44万元,6.0,中国长城资产管理股份有限公司辽宁省分公司辽宁为众利合药业集团有限公司债权资产营销公告,2,债权资产,13.0,批发和零售业,5,14484400.0,Rust Belt
5,5,5,2018-08-02,58,天津,15533,"515,296,623.88",2.0,国长城资产管理股份有限公司天津市分公司对天津市捷达铁柜有限公司等82户债权资产整体对外公开打包处置营销公告,2,债权资产,5.0,其他,6,515296623.88,Rust Belt
6,6,6,2018-08-01,374,四川,15529,"87,729.45",23.0,中国长城资产管理股份有限公司四川省分公司关于盐边县三吉食品制造厂债权资产转让项目的营销公告,2,债权资产,3.0,"制造业
",7,87729.45,Populous Middle
7,7,7,2018-08-01,374,四川,15530,"3,151,446.05",23.0,中国长城资产管理股份有限公司四川省分公司关于对盐边县鑫茂蔬菜有限责任公司债权资产的处置公告,2,债权资产,13.0,批发和零售业,8,3151446.05,Populous Middle
8,8,8,2018-08-01,374,四川,15531,"1,336,999.16",23.0,中国长城资产管理股份有限公司四川省分公司关于盐边县正通商贸有限责任公司债权资产转让项目的营销公告,2,债权资产,13.0,批发和零售业,9,1336999.16,Populous Middle
9,9,9,2018-08-01,53,天津,15471,"60,590,512.07元（截止2018年5月21日）",2.0,中国长城资产管理股份有限公司天津市分公司对天津思为机器设备有限公司债权资产营销公告,2,债权资产,3.0,"制造业
",10,60590512.07,Rust Belt
10,10,10,2018-08-01,372,四川,15472,"28,588,918.00",23.0,中国长城资产管理股份有限公司四川省分公司关于成都市潮山门业有限公司债权资产转让项目的营销公告,2,债权资产,3.0,"制造业
",11,28588918.0,Populous Middle
11,11,11,2018-08-01,392,四川,15473,"20,041,302.81",23.0,中国长城资产管理股份有限公司四川省分公司关于会东金川磷化工有限责任公司债权资产转让项目的营销公告,2,债权资产,14.0,采矿业,12,20041302.81,Populous Middle
12,12,12,2018-08-01,374,四川,15474,"559,410.44",23.0,中国长城资产管理股份有限公司四川省分公司关于对米易县农机有限责任公司债权资产转让项目的营销公告,2,债权资产,13.0,批发和零售业,13,559410.44,Populous Middle
13,13,13,2018-08-01,374,四川,15475,"52,055,245.62",23.0,中国长城资产管理股份有限公司四川省分公司关于对攀枝花三众石化有限责任公司债权资产转让项目的营销公告,2,债权资产,13.0,批发和零售业,14,52055245.62,Populous Middle
